	n	repetitions		time
     0	 12193161	0.000000
    10	   752999	0.000001
    20	   310028	0.000003
    30	   165824	0.000006
    40	   105800	0.000009
    50	    72173	0.000014
    60	    52485	0.000019
    70	    38855	0.000026
    80	    28556	0.000035
    90	    26591	0.000038
   100	    21827	0.000046
   200	     5834	0.000171
   300	     2684	0.000373
   400	     1573	0.000636
   500	     1052	0.000951
   600	      718	0.001393
   700	      549	0.001823
   800	      407	0.002462
   900	      321	0.003115
  1000	      267	0.003753
