	n	repetitions		time
     0	 12089006	0.000000
    10	  1206934	0.000001
    20	   354263	0.000003
    30	   165963	0.000006
    40	    95632	0.000010
    50	    61656	0.000016
    60	    40448	0.000025
    70	    30876	0.000032
    80	    23605	0.000042
    90	    19045	0.000053
   100	    15443	0.000065
   200	     3963	0.000252
   300	     1779	0.000562
   400	     1006	0.000994
   500	      637	0.001570
   600	      437	0.002293
   700	      322	0.003112
   800	      245	0.004094
   900	      199	0.005040
  1000	      161	0.006230
