	n	repetitions		time
     0	 12387881	0.000000
    10	  6133782	0.000000
    20	  2160016	0.000000
    30	   966215	0.000001
    40	   573562	0.000002
    50	   371883	0.000003
    60	   254205	0.000004
    70	   194372	0.000005
    80	   149853	0.000007
    90	   117240	0.000009
   100	    96687	0.000010
   200	    24156	0.000041
   300	    10515	0.000095
   400	     5967	0.000168
   500	     3870	0.000258
   600	     2608	0.000383
   700	     1962	0.000510
   800	     1498	0.000668
   900	     1174	0.000852
  1000	      943	0.001060
