	n	repetitions		time
     0	 12283667	0.000000
    10	  1221089	0.000001
    20	   364346	0.000003
    30	   162191	0.000006
    40	    95425	0.000010
    50	    60001	0.000017
    60	    40654	0.000025
    70	    31561	0.000032
    80	    23978	0.000042
    90	    18698	0.000053
   100	    15179	0.000066
   200	     3907	0.000256
   300	     1757	0.000569
   400	      917	0.001091
   500	      608	0.001645
   600	      440	0.002275
   700	      311	0.003222
   800	      247	0.004049
   900	      195	0.005133
  1000	      158	0.006342
