	n	repetitions		time
     0	 11915163	0.000000
    10	  5906933	0.000000
    20	  2054277	0.000000
    30	   940603	0.000001
    40	   529360	0.000002
    50	   345030	0.000003
    60	   245129	0.000004
    70	   183380	0.000005
    80	   142286	0.000007
    90	   109576	0.000009
   100	    92123	0.000011
   200	    23916	0.000042
   300	    10799	0.000093
   400	     6118	0.000163
   500	     3914	0.000255
   600	     2726	0.000367
   700	     2003	0.000499
   800	     1541	0.000649
   900	     1179	0.000848
  1000	      993	0.001007
